Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6906	8.1201	|	0.6781	0.0000	0.0000	0.0000	|	0.6235	0.0000	0.0000	0.0000	|	0.6679	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	8.0533	0.6944	|	0.6968	0.5821	0.4106	1.0000	|	0.6371	0.5736	0.4021	1.0000	|	0.6800	0.5958	0.4243	1.0000	|  Best result at epoch 1
2	0.6945	0.6870	|	0.7347	0.0000	0.0000	0.0000	|	0.6596	0.0000	0.0000	0.0000	|	0.7061	0.0000	0.0000	0.0000	|  Best result at epoch 1
3	0.6865	0.6754	|	0.7149	0.0000	0.0000	0.0000	|	0.6471	0.0000	0.0000	0.0000	|	0.6930	0.0000	0.0000	0.0000	|  Best result at epoch 1
4	0.6735	0.7314	|	0.7153	0.0000	0.0000	0.0000	|	0.6477	0.0000	0.0000	0.0000	|	0.6937	0.0000	0.0000	0.0000	|  Best result at epoch 1
5	0.7252	0.6904	|	0.7863	0.6905	0.6833	0.6979	|	0.7155	0.6298	0.6167	0.6435	|	0.7520	0.6797	0.6631	0.6970	|  Best result at epoch 5
6	0.6901	0.6796	|	0.7932	0.0101	0.7500	0.0051	|	0.7160	0.0000	0.0000	0.0000	|	0.7621	0.0015	0.5000	0.0007	|  Best result at epoch 5
7	0.6785	0.6641	|	0.7993	0.0152	0.8182	0.0077	|	0.7241	0.0172	1.0000	0.0087	|	0.7692	0.0059	0.8000	0.0030	|  Best result at epoch 5
8	0.6620	0.6570	|	0.7884	0.7157	0.6277	0.8323	|	0.7153	0.6592	0.5789	0.7652	|	0.7501	0.6925	0.6062	0.8074	|  Best result at epoch 8
9	0.6530	0.7845	|	0.7497	0.0000	0.0000	0.0000	|	0.6750	0.0000	0.0000	0.0000	|	0.7237	0.0000	0.0000	0.0000	|  Best result at epoch 8
10	0.7770	0.6721	|	0.8296	0.4435	0.8897	0.2953	|	0.7579	0.3836	0.9032	0.2435	|	0.7970	0.4590	0.8750	0.3111	|  Best result at epoch 8
11	0.6711	0.6517	|	0.8368	0.7203	0.7452	0.6970	|	0.7654	0.6422	0.6796	0.6087	|	0.8041	0.7182	0.7358	0.7015	|  Best result at epoch 8
12	0.6494	0.6163	|	0.8348	0.5678	0.8893	0.4170	|	0.7591	0.5000	0.8889	0.3478	|	0.8009	0.5664	0.8696	0.4200	|  Best result at epoch 8
13	0.6134	0.9577	|	0.8116	0.6509	0.4949	0.9506	|	0.7541	0.5906	0.4449	0.8783	|	0.7796	0.6415	0.4891	0.9319	|  Best result at epoch 8
14	0.9364	0.5924	|	0.8324	0.4503	0.9307	0.2970	|	0.7568	0.4110	0.9677	0.2609	|	0.7997	0.4567	0.9274	0.3030	|  Best result at epoch 8
15	0.5882	0.5540	|	0.8420	0.6614	0.8810	0.5294	|	0.7694	0.5412	0.8364	0.4000	|	0.8090	0.6349	0.8440	0.5089	|  Best result at epoch 8
16	0.5445	0.5315	|	0.8450	0.7083	0.8297	0.6179	|	0.7767	0.5926	0.7568	0.4870	|	0.8111	0.6820	0.8046	0.5919	|  Best result at epoch 8
17	0.5189	0.5111	|	0.8476	0.7238	0.8271	0.6434	|	0.7797	0.6010	0.7436	0.5043	|	0.8114	0.7019	0.8000	0.6252	|  Best result at epoch 8
18	0.4964	0.4962	|	0.8502	0.7283	0.8571	0.6332	|	0.7769	0.5957	0.7671	0.4870	|	0.8134	0.6866	0.8105	0.5956	|  Best result at epoch 8
