"1-187","1","187","1788","0"
"2-187","2","187","517","0"
"3-187","3","187","21","0"
"4-187","4","187","101","0"
"5-187","5","187","168","0"
"6-187","6","187","672","0"
"7-187","7","187","1068","0"
"8-187","8","187","1729","0"
"9-187","9","187","1820","0"
"10-187","10","187","1796","0"
"11-187","11","187","1796","0"
"12-187","12","187","270","0"
"13-187","13","187","70","0"
"14-187","14","187","586","0"
"15-187","15","187","76","1"
"16-187","16","187","76","1"
"17-187","17","187","76","1"
"18-187","18","187","1761","1"
"19-187","19","187","1823","1"
"20-187","20","187","319","1"
"21-187","21","187","1855","1"
"22-187","22","187","1855","1"
"23-187","23","187","78","1"
"24-187","24","187","167","1"
"25-187","25","187","1729","0"
"26-187","26","187","672","0"
"27-187","27","187","672","0"
"28-187","28","187","672","0"
"29-187","29","187","1850","0"
"30-187","30","187","1815","1"
"31-187","31","187","1880","1"
"32-187","32","187","76","1"
"33-187","33","187","405","1"
"34-187","34","187","439","1"
"35-187","35","187","586","0"
"36-187","36","187","478","0"
"37-187","37","187","81","0"
"38-187","38","187","81","0"
"39-187","39","187","81","0"
"40-187","40","187","828","1"
"41-187","41","187","255","0"
"42-187","42","187","826","0"
"43-187","43","187","1868","0"
"44-187","44","187","450","0"
"45-187","45","187","666","0"
"46-187","46","187","1129","0"
"47-187","47","187","657","1"
"48-187","48","187","454","1"
"49-187","49","187","1553","1"
"50-187","50","187","270","0"
"51-187","51","187","629","0"
"52-187","52","187","375","1"
"53-187","53","187","1268","1"
"54-187","54","187","1268","1"
"55-187","55","187","403","1"
"56-187","56","187","1877","0"
"57-187","57","187","1566","0"
"58-187","58","187","518","1"
"59-187","59","187","627","1"
"60-187","60","187","1812","1"
"61-187","61","187","1130","1"
"62-187","62","187","1812","1"
"63-187","63","187","1836","0"
"64-187","64","187","935","0"
"65-187","65","187","255","0"
"66-187","66","187","255","0"
"67-187","67","187","1821","0"
"68-187","68","187","478","0"
"69-187","69","187","1818","0"
"70-187","70","187","1068","0"
"71-187","71","187","1835","0"
"72-187","72","187","1806","0"
"73-187","73","187","1814","0"
"74-187","74","187","1131","0"
"75-187","75","187","1817","1"
"76-187","76","187","1817","1"
"77-187","77","187","1817","1"
"78-187","78","187","1817","1"
"79-187","79","187","1817","1"
"80-187","80","187","1817","1"
"81-187","81","187","1851","1"
"82-187","82","187","1851","1"
"83-187","83","187","1837","1"
"84-187","84","187","935","0"
"85-187","85","187","270","0"
"86-187","86","187","1131","0"
"87-187","87","187","478","0"
"88-187","88","187","255","0"
"89-187","89","187","645","0"
"90-187","90","187","1839","0"
"91-187","91","187","822","0"
"92-187","92","187","81","0"
"93-187","93","187","1879","0"
"94-187","94","187","1883","0"
"95-187","95","187","1837","1"
"96-187","96","187","1851","1"
"97-187","97","187","1837","1"
"98-187","98","187","1817","0"
"99-187","99","187","1817","0"
"100-187","100","187","1817","0"
"101-187","101","187","1851","0"
"102-187","102","187","1817","1"
"103-187","103","187","1817","1"
"104-187","104","187","1817","1"
"105-187","105","187","1835","0"
"106-187","106","187","375","0"
"107-187","107","187","255","0"
"108-187","108","187","478","1"
"109-187","109","187","1817","0"
"110-187","110","187","141","1"
"111-187","111","187","1837","1"
"112-187","112","187","255","0"
"113-187","113","187","1864","0"
"114-187","114","187","255","0"
"115-187","115","187","255","0"
"116-187","116","187","255","0"
"117-187","117","187","81","0"
"118-187","118","187","478","0"
"119-187","119","187","1817","1"
"120-187","120","187","997","1"
"121-187","121","187","454","1"
"122-187","122","187","448","0"
"123-187","123","187","255","0"
"124-187","124","187","1686","1"
"125-187","125","187","1817","0"
"126-187","126","187","1817","0"
"127-187","127","187","1817","0"
"128-187","128","187","1817","0"
"129-187","129","187","1686","0"
"130-187","130","187","1817","1"
"131-187","131","187","1817","1"
"132-187","132","187","478","0"
"133-187","133","187","81","0"
"134-187","134","187","81","0"
"135-187","135","187","81","0"
"136-187","136","187","255","0"
"137-187","137","187","1857","1"
"138-187","138","187","1817","0"
"139-187","139","187","1817","0"
"140-187","140","187","1817","0"
"141-187","141","187","478","0"
"142-187","142","187","1817","0"
"143-187","143","187","478","0"
"144-187","144","187","627","1"
"145-187","145","187","1874","0"
"146-187","146","187","1878","0"
"147-187","147","187","997","0"
"148-187","148","187","1866","1"
"149-187","149","187","1842","1"
"150-187","150","187","1878","0"
"151-187","151","187","1842","1"
"152-187","152","187","1842","1"
